word,n,
harry styles,1500,
love,947,
tour,460,
tickets,364,
asitwas,340,
play,299,
canada,241,
im,237,
coachella,235,
heardle,222,
hshq,221,
song,217,
dates,205,
night,202,
livenationau,186,
time,179,
late,171,
australia,168,
coming,166,
album,165,
talking,162,
pls,160,
louis,155,
people,154,
presale,154,
code,142,
wetlegband,141,
wait,140,
baby,138,
listen,138,
date,137,
hey,136,
live,135,
italy,132,
day,125,
ticket,124,
concert,123,
happy,123,
hear,123,
omg,111,
fans,109,
music,108,
life,107,
gonna,106,
house,106,
release,106,
boyfriends,105,
fucking,101,
top,98,
literally,95,
louis_tomlinson,95,
fuck,93,
listening,93,
god,92,
gt,92,
hsdaily,91,
songs,91,
lt,90,
past,90,
world,90,
new zealand,87,
proud,84,
ticketmaster_au,83,
twitter,83,
taylor,80,